Force,Position,date
234.4,516.11,Fri Aug 15 2014 06:00:00 GMT-0400 (EDT)
257.22,329.73,Fri Aug 15 2014 06:06:00 GMT-0400 (EDT)
242.02,482.53,Fri Aug 15 2014 06:12:00 GMT-0400 (EDT)
274.48,418.53,Fri Aug 15 2014 06:18:00 GMT-0400 (EDT)
364.22,447.07,Fri Aug 15 2014 06:24:00 GMT-0400 (EDT)
408.88,365.18,Fri Aug 15 2014 06:30:00 GMT-0400 (EDT)
414.69,371.32,Fri Aug 15 2014 06:36:00 GMT-0400 (EDT)
250.7,479.45,Fri Aug 15 2014 06:42:00 GMT-0400 (EDT)
245.68,437.61,Fri Aug 15 2014 06:48:00 GMT-0400 (EDT)
260.43,408.97,Fri Aug 15 2014 06:54:00 GMT-0400 (EDT)
335.43,450.96,Fri Aug 15 2014 07:00:00 GMT-0400 (EDT)
296.17,434.89,Fri Aug 15 2014 07:06:00 GMT-0400 (EDT)
361.4,563.86,Fri Aug 15 2014 07:12:00 GMT-0400 (EDT)
465.32,437.93,Fri Aug 15 2014 07:18:00 GMT-0400 (EDT)
287.38,527.68,Fri Aug 15 2014 07:24:00 GMT-0400 (EDT)
